,0,1,2
0,2.9536883369478155e-171,2.5807686611189212e-36,5.952868390430723e-85
1,5.719212723678443e-270,2.8983116750992543e-161,1.74368083709855e-75
2,2.8691105033194746e-249,0.34721690547473627,1.0
3,0.08279115185445424,1.0,2.0810438513007237e-81
4,5.6029116129486705e-182,1.0740662953901435e-105,2.5682392880546745e-11
5,7.980336399681926e-142,0.039770788366237854,1.0
6,4.680423557569411e-156,0.3175314792814043,1.4677132631966747e-91
7,1.1664199562035837e-129,1.500420765903227e-164,2.060004316050877e-43
8,0.07671717402011835,6.961704962928824e-59,6.602411636620824e-236
9,5.048545488196171e-179,1.6234315953979619e-38,4.964106191523344e-136
