,0,1,2
0,1.0,0.423678273772514,1.0
1,2.5718399727554997e-46,4.3244210559373603e-75,2.081342677394914e-54
2,1.0,2.3183168904314733e-171,7.314341279125546e-96
3,0.8982199324454574,4.483157768970366e-47,1.8503005191508415e-58
4,1.0,7.552299084250179e-113,1.3240107539450697e-169
5,5.934180017137463e-132,0.9602292116337621,4.2558897359536774e-100
6,0.7192133728898674,7.034888483605107e-52,1.8054787124731827e-161
7,1.817662770819074e-124,2.4941580545543403e-106,0.39605942582735143
8,1.0715957135100699e-143,0.5306134104224475,7.440956911063539e-58
9,0.0,0.3472888460532168,1.0
