,0,1,2,3,4,5,6
calculus,0.7243120319192302,1.0011414086054714e-16,6.211309421109388e-71,0.26508389858525067,0.0009615294449971645,0.009642540050523252,2.3688411059415676e-26
emotion,6.001170663045028e-31,0.8048411404561907,1.840307540257177e-64,5.700314476918148e-28,8.618251197305036e-51,2.916185063795652e-46,0.19515885954381068
long_term_memory,2.9020666901789923e-05,5.045996838887325e-40,3.189337555257955e-63,0.5876523438590034,0.4107423391239538,0.001576296350142387,1.0823882486927629e-42
math_fluency,0.4394289358111149,3.81814729686764e-20,2.0334157778352294e-71,0.15397616184366508,0.00013244880105932018,0.40646245354415744,6.067147436540234e-29
processing_speed,9.255486716143816e-22,0.9337847109855363,1.0604851942181408e-61,1.6592214782499706e-21,9.174808177168993e-38,5.4629023509713125e-36,0.06621528901445735
reading,0.9145122849676651,2.0370260840801005e-25,5.348770295714398e-77,0.06451960874187017,0.000490163364870018,0.02047794292560156,6.08188030772839e-38
reasoning,0.0002784112688251485,2.2530128317158813e-20,2.351595758171186e-46,0.2516197795510937,0.7176837460768029,0.0304180631032795,1.5415769593399603e-23
response_behaviour,1.8914455118311454e-116,1.7254198840680642e-94,1.0000000000000002,1.783000563297785e-113,3.258635223011488e-116,2.3749044069095803e-117,6.738652664988033e-59
working_memory,0.009494477856791682,2.3128083293103953e-20,5.544148144584312e-47,0.6139681674047125,0.18600192901329263,0.19053542572520982,4.6915705896272805e-28
