,0,1,2
0,4.0735639272881683e-262,4.380290222128034e-79,1.9506758521566767e-168
1,0.015399091407916682,1.0,4.7513476272300115e-124
2,0.0,0.6527830945252637,1.6294680979998666e-88
3,0.0,2.624150990836489e-213,1.0389982050044238e-153
4,2.1153469845062214e-281,4.44604288727678e-146,0.9999999999743177
5,0.0,3.4565643123439264e-190,3.3012246538909586e-108
6,5.643268029691864e-48,0.6824685207185957,1.0
7,6.581831787130609e-279,3.284783982230168e-248,1.1227321331942675e-148
8,0.0,2.457822205688481e-186,0.0
9,0.0,5.221460242609411e-176,1.7753536377820618e-300
