,0,1,2
0,0.0,3.5176349151966437e-71,4.895629781790232e-115
1,0.0,2.1247859479314217e-257,4.6032840801353956e-147
2,0.0,2.885958769638413e-139,2.2131143875746697e-242
3,0.0,6.743295690596598e-243,7.072605866166081e-117
4,3.662794192447251e-304,2.3998074194791755e-203,1.0968934517003138e-200
5,1.2462282700568996e-241,1.8655591649712523e-129,1.3564498178780337e-241
6,0.2807866271101325,1.3488461011710285e-171,0.0
7,0.0,1.0,1.724335149510707e-146
8,0.0,0.46938658955455825,1.0
9,0.0,4.429375380143695e-78,2.216140066864041e-96
