,0,1,2
0,0.0,0.5763217262274859,9.264634006829798e-58
1,0.9846009085920833,8.029963152154043e-74,1.0
2,1.2791132920018172e-185,2.31456065214951e-52,4.994071219007457e-111
3,0.018988915700088375,9.430358791268265e-62,1.0
4,1.9046395512627521e-87,1.0,6.8405016716122145e-40
5,1.0,6.369948689468856e-37,5.1964925191159526e-73
6,8.26038767041681e-118,4.382332022832793e-309,3.377675031644439e-193
7,1.0,9.543160242715591e-96,0.6039405741726486
8,0.9232828259798816,2.2994251638611833e-11,4.700122965973293e-134
9,1.0,0.6527111539467833,5.356294494953903e-72
